Occupation_Title	Occupation_Code		Year	Median Annual Salary	Bottom 10%	Top 10%	Estimated Employment	Projected Growth (2016-2026)	Projected Job Openings (2016-2026)**	Top Industries																		
Atmospheric and Space Scientists	19-2021		2005	"$73,940 "	"$37,250 "	"$109,630 "	"7,050"	14% - 19%	"3,300"	"Professional, Scientific, and Technical Services (40%), Government (38%), Educational Services (13%), Other Industries (9%)"																		
			2006	"$77,150 "	"$39,090 "	"$119,700 "	"8,250"																					
			2007	"$78,390 "	"$37,030 "	"$123,230 "	"8,570"																					
			2008	"$81,290 "	"$38,990 "	"$127,100 "	"8,860"																					
			2009	"$84,710 "	"$40,560 "	"$127,250 "	"8,320"																					
			2010	"$87,780 "	"$45,050 "	"$132,130 "	"8,640"																					
			2011	"$89,790 "	"$47,950 "	"$136,120 "	"9,640"	10%-19%	"2,100"																			
			2012	"$89,260 "	"$49,120 "	"$134,730 "	"10,190"																					
			2013	"$87,030 "	"$49,320 "	"$129,750 "	"10,800"	8%-14%	"3,800"																			
			2014	"$87,980 "	"$50,030 "	"$128,670 "	"10,850"																					
			2015	"$89,820 "	"$50,630 "	"$132,180 "	"10,370"	9%-13%	"3,300"																			
			2016	"$92,460 "	"$51,480 "	"$140,830 "	"9,800"			"Professional, Scientific, and Technical Services, Government "																		
																												
Conservation Scientists	19-1031		2005	"$53,350 "	"$30,730 "	"$81,910 "	"15,540"	7% - 13%	"4,100"	"Government (74%), Other Industries (26%)"																		
			2006	"$54,970 "	"$29,860 "	"$80,260 "	"16,000"																					
			2007	"$56,150 "	"$32,750 "	"$82,080 "	"16,570"																					
			2008	"$58,720 "	"$35,190 "	"$86,910 "	"15,830"																					
			2009	"$60,160 "	"$35,570 "	"$87,890 "	"16,810"																					
			2010	"$59,310 "	"$36,050 "	"$89,440 "	"18,880"																					
			2011	"$59,530 "	"$37,110 "	"$89,800 "	"18,910"	3%-9%	"4,000"																			
			2012	"$61,100 "	"$38,350 "	"$90,870 "	"18,460"																					
			2013	"$61,220 "	"$37,070 "	"$90,740 "	"18,590"	-2%-2%	"6,600"																			
			2014	"$61,860 "	"$38,000 "	"$92,400 "	"19,210"																					
			2015	"$61,110 "	"$37,380 "	"$91,830 "	"20,200"	5%-8%	"10,600"																			
			2016	"$61,810 "	"$37,270 "	"$95,970 "	"20,470"			"Government, Other Services (Expect Public Administration)"																		
																												
"Environmental Scientists and Specialists, Including Health"	19-2041		2005	"$52,630 "	"$32,910 "	"$89,040 "	"72,000"	20%	"48,400"	"Government (44%), Professional, Scientific, and Technical Services (41%), Other Industries (15%)"																		
			2006	"$56,100 "	"$34,590 "	"$94,670 "	"77,720"																					
			2007	"$58,380 "	"$35,630 "	"$99,320 "	"80,070"																					
			2008	"$59,750 "	"$36,310 "	"$102,610 "	"80,120"																					
			2009	"$61,010 "	"$37,120 "	"$107,190 "	"83,530"																					
			2010	"$61,700 "	"$37,850 "	"$107,990 "	"81,690"																					
			2011	"$62,920 "	"$38,090 "	"$110,560 "	"83,090"	10%-19%	"43,200"																			
			2012	"$63,570 "	"$38,570 "	"$109,970 "	"84,240"																					
			2013	"$65,090 "	"$38,980 "	"$112,990 "	"87,380"	15%-21%	"39,700"																			
			2014	"$66,250 "	"$39,730 "	"$114,990 "	"88,740"																					
			2015	"$67,460 "	"$40,350 "	"$118,070 "	"87,250"	9%-13%	"39,300"																			
			2016	"$68,910 "	"$41,220 "	"$120,320 "	"84,250"			"Government, Professional, Scientific, and Technical Services "																		
																												
Forest and Conservation Workers	45-4011		2005	"$19,680 "	"$14,730 "	"$37,700 "	"8,700"	7% - 13%	"4,500"	"Government (58%), Agriculture, Forestry, Fishing, and Hunting (32%), Other Industries (10%)"																		
			2006	"$20,810 "	"$15,650 "	"$39,580 "	"8,530"																					
			2007	"$20,510 "	"$15,430 "	"$39,490 "	"8,770"																					
			2008	"$22,850 "	"$16,670 "	"$41,690 "	"8,280"																					
			2009	"$25,580 "	"$18,610 "	"$46,520 "	"5,840"																					
			2010	"$23,900 "	"$16,730 "	"$44,780 "	"7,040"																					
			2011	"$23,300 "	"$16,780 "	"$44,660 "	"8,250"	-2%-2%	"3,500"																			
			2012	"$24,340 "	"$16,690 "	"$45,900 "	"7,910"																					
			2013	"$25,770 "	"$16,740 "	"$45,360 "	"6,940"	3%-7%	"2,300"																			
			2014	"$27,160 "	"$16,800 "	"$46,390 "	"6,870"																					
			2015	"$26,190 "	"$18,870 "	"$46,660 "	"6,870"	2%-4%	"3,900"																			
			2016	"$26,940 "	"$19,100 "	"$49,150 "	"7,170"			"Agriculture, Forestry, Fishing, and Hunting, Government"																		
																												
Foresters	19-1032		2005	"$48,670 "	"$31,110 "	"$74,550 "	"10,750"	7% - 13%	"2,600"	"Government (60%), Manufacturing (11%), Agriculture, Forestry, Fishing, and Hunting (10%), Other Industries (19%)"																		
			2006	"$51,190 "	"$33,490 "	"$74,570 "	"10,760"																					
			2007	"$52,440 "	"$34,590 "	"$76,740 "	"10,510"																					
			2008	"$53,750 "	"$34,710 "	"$78,350 "	"10,160"																					
			2009	"$53,840 "	"$35,250 "	"$75,310 "	"10,230"																					
			2010	"$54,540 "	"$35,670 "	"$75,540 "	"9,470"																					
			2011	"$55,190 "	"$36,210 "	"$75,520 "	"9,000"	3%-9%	"1,900"																			
			2012	"$55,950 "	"$36,380 "	"$78,490 "	"9,470"																					
			2013	"$57,110 "	"$37,160 "	"$83,370 "	"9,220"	3%-7%	"4,200"																			
			2014	"$57,980 "	"$37,680 "	"$85,750 "	"9,140"																					
			2015	"$58,230 "	"$38,660 "	"$84,980 "	"8,590"	5%-8%	"8,000"																			
			2016	"$58,700 "	"$39,100 "	"$82,400 "	"8,420"			"Government, Agriculture, Forestry, Fishing, and Hunting"																		
																												
"Geoscientists, Except Hydrologists and Geographers"	19-2042		2005	"$71,640 "	"$39,420 "	"$135,290 "	"27,430"	14% - 19%	"15,400"	"Professional, Scientific, and Technical Services (43%), Mining, Quarrying, and Oil and Gas Extraction (25%), Government (17%), Other Industries (15%)"																		
			2006	"$72,660 "	"$39,740 "	"$135,950 "	"28,980"																					
			2007	"$75,800 "	"$41,020 "	"$144,450 "	"31,390"																					
			2008	"$79,160 "	"$41,700 "	"$155,430 "	"31,260"																					
			2009	"$81,220 "	"$43,140 "	"$161,260 "	"31,860"																					
			2010	"$82,500 "	"$43,820 "	"$160,910 "	"30,830"																					
			2011	"$84,470 "	"$45,940 "	"$170,510 "	"32,490"	20%-28%	"17,100"																			
			2012	"$90,890 "	"$48,270 "	"$130,330 "	"35,180"																					
			2013	"$92,910 "	"$48,890 "	"$187,199*"	"34,690"	15%-21%	"17,300"																			
			2014	"$89,910 "	"$46,400 "	"$187,199*"	"34,000"																					
			2015	"$89,700 "	"$47,250 "	"$187,200*"	"31,800"	9%-13%	"15,000"																			
			2016	"$89,780 "	"$47,450 "	"$189,020 "	"30,420"			"Professional, Scientific, and Technical Services, Mining, Quarrying, and Oil and Gas Extraction"																		
																												
Hydrologists	19-2043		2005	"$63,820 "	"$40,190 "	"$102,150 "	"8,360"	14% - 19%	"3,800"	"Government (49%), Professional, Scientific, and Technical Services (46%), Other Industries (5%)"																		
			2006	"$66,260 "	"$42,080 "	"$98,320 "	"7,740"																					
			2007	"$68,140 "	"$42,450 "	"$101,270 "	"7,670"																					
			2008	"$71,450 "	"$44,410 "	"$105,010 "	"7,590"																					
			2009	"$73,670 "	"$46,290 "	"$110,110 "	"7,150"																					
			2010	"$75,690 "	"$48,280 "	"$112,490 "	"6,910"																					
			2011	"$75,680 "	"$48,890 "	"$112,890 "	"6,960"	10%-19%	"3,600"																			
			2012	"$75,530 "	"$48,450 "	"$112,840 "	"6,880"																					
			2013	"$75,710 "	"$49,040 "	"$113,070 "	"6,540"	8%-14%	"2,900"																			
			2014	"$78,370 "	"$50,090 "	"$117,190 "	"6,580"																					
			2015	"$79,550 "	"$50,410 "	"$120,370 "	"6,580"	5%-8%	"2,600"																			
			2016	"$80,480 "	"$50,600 "	"$120,100 "	"6,300"			"Government, Professional, Scientific, and Technical Services"																		
																												
"Transportation, Storage, and Distribution Managers"	11-3071		2005	"$69,120 "	"$40,940 "	"$116,640 "	"84,870"	-3% - -9%	"27,400"	"Transportation and Warehousing (33%), Wholesale Trade (18%), Government (15%), Manufacturing (12%), Other Industries (22%)"																		
			2006	"$73,080 "	"$43,180 "	"$120,470 "	"89,010"																					
			2007	"$76,310 "	"$44,900 "	"$126,440 "	"92,790"																					
			2008	"$79,000 "	"$45,320 "	"$130,020 "	"96,300"																					
			2009	"$79,490 "	"$45,720 "	"$131,740 "	"92,380"																					
			2010	"$80,210 "	"$46,700 "	"$133,490 "	"90,280"																					
			2011	"$80,860 "	"$47,800 "	"$135,860 "	"92,150"	10%-19%	"33,700"																			
			2012	"$81,830 "	"$48,050 "	"$138,640 "	"98,600"																					
			2013	"$83,890 "	"$49,370 "	"$142,540 "	"102,610"	3%-7%	"29,100"																			
			2014	"$85,400 "	"$50,640 "	"$146,110 "	"106,000"																					
			2015	"$86,630 "	"$50,840 "	"$149,770 "	"109,210"	2%-4%	"27,100"																			
			2016	"$89,190 "	"$52,670 "	"$152,730 "	"113,270"			"Transportation and Warehousing, Wholesale Trade"																		
																												
Natural Sciences Managers	11-9121		2005	"$93,090 "	"$50,260 "	"$145,600*"	"40,400"	14% - 19%	"20,100"	"Professional, Scientific, and Technical Services (36%), Government (31%), Manufacturing (15%), Other Industries (18%)"																		
			2006	"$100,080 "	"$60,300 "	"$145,600*"	"38,660"																					
			2007	"$104,040 "	"$62,880 "	"$145,600*"	"39,370"																					
			2008	"$112,800 "	"$65,960 "	"$166,400*"	"43,060"																					
			2009	"$114,560 "	"$68,640 "	"$166,400*"	"44,180"																					
			2010	"$116,020 "	"$67,290 "	"$166,400*"	"45,920"																					
			2011	"$114,770 "	"$64,180 "	"$187,199*"	"47,510"	3%-9%	"33,500"																			
			2012	"$115,730 "	"$65,040 "	"$187,199*"	"48,560"																					
			2013	"$116,840 "	"$65,580 "	"$187,199*"	"51,900"	3%-7%	"13,700"																			
			2014	"$120,050 "	"$70,020 "	"$187,199*"	"53,290"																					
			2015	"$120,160 "	"$69,250 "	"$187,200*"	"53,450"	2%-4%	"13,300"																			
			2016	"$119,850 "	"$66,920 "	"$208,000*"	"54,780"			"Professional, Scientific, and Technical Services, Government "																		
																												
"Property, Real Estate, and Community Association Managers"	11-9141		2005	"$41,900 "	"$20,100 "	"$91,050 "	"154,230"	7% - 13%	"78,000"	"Self-Employed (46%), Real Estate and Rental and Leasing (40%), Other Industries (14%)"																		
			2006	"$43,070 "	"$20,140 "	"$95,170 "	"156,880"																					
			2007	"$43,670 "	"$20,800 "	"$97,890 "	"159,660"																					
			2008	"$46,130 "	"$21,860 "	"$102,250 "	"159,700"																					
			2009	"$48,460 "	"$23,890 "	"$104,400 "	"150,850"																					
			2010	"$51,480 "	"$26,180 "	"$111,320 "	"147,110"																					
			2011	"$52,510 "	"$25,810 "	"$112,630 "	"152,380"	3%-9%	"82,300"																			
			2012	"$52,610 "	"$26,600 "	"$113,400 "	"159,570"																					
			2013	"$53,200 "	"$27,060 "	"$114,240 "	"165,960"	8%-14%	"102,100"																			
			2014	"$54,270 "	"$28,240 "	"$117,130 "	"171,140"																					
			2015	"$55,380 "	"$28,490 "	"$123,790 "	"174,410"	5%-8%	"79,900"																			
			2016	"$57,040 "	"$28,260 "	"$126,390 "	"180,290"			"Self-Employed, Real Estate and Rental and Leasing"																		
																												
Emergency Management Directors	11-9161		2005	"$45,980 "	"$23,690 "	"$81,530 "	"11,240"	20%	"5,600"	"Government (65%), Health Care and Social Assistance (15%), Other Industries (20%)"																		
			2006	"$47,410 "	"$25,690 "	"$80,850 "	"11,330"																					
			2007	"$48,380 "	"$26,340 "	"$82,440 "	"11,610"																					
			2008	"$50,460 "	"$27,640 "	"$85,060 "	"12,260"																					
			2009	"$52,590 "	"$28,370 "	"$90,340 "	"13,060"																					
			2010	"$55,360 "	"$28,840 "	"$96,230 "	"11,800"																					
			2011	"$57,271 "	"$29,300 "	"$101,630 "	"11,050"	10%-19%	"3,900"																			
			2012	"$59,770 "	"$30,760 "	"$107,810 "	"9,550"																					
			2013	"$62,780 "	"$31,410 "	"$111,790 "	"9,800"	8%-14%	"2,200"																			
			2014	"$64,360 "	"$33,370 "	"$116,900 "	"9,770"																					
			2015	"$67,330 "	"$34,00"	"$127,180 "	"9,840"	5%-8%	"1,900"																			
			2016	"$70,500 "	"$36,760 "	"$133,880 "	"9,570"			"Government, Health Care and Social Assistance"																		
																												
Appraisers and Assessors of Real Estate	13-2021		2005	"$43,440 "	"$23,020 "	"$83,480 "	"63,800"	3% - 6%	"21,000"	"Government (34%), Real Estate and Rental and Leasing (31%), Self-Employed (27%), Other Industries (8%)"																		
			2006	"$44,460 "	"$24,000 "	"$86,140 "	"66,420"																					
			2007	"$46,130 "	"$25,110 "	"$87,910 "	"66,210"																					
			2008	"$47,340 "	"$25,900 "	"$88,680 "	"66,260"																					
			2009	"$47,840 "	"$25,700 "	"$89,890 "	"64,770"																					
			2010	"$48,500 "	"$25,920 "	"$90,650 "	"62,560"																					
			2011	"$48,870 "	"$25,220 "	"$91,540 "	"60,930"	3%-9%	"22,200"																			
			2012	"$49,540 "	"$25,850 "	"$91,700 "	"59,530"																					
			2013	"$51,030 "	"$26,510 "	"$94,030 "	"60,210"	3%-7%	"12,100"																			
			2014	"$52,570 "	"$26,980 "	"$95,020 "	"63,220"																					
			2015	"$51,860 "	"$27,040 "	"$97,080 "	"60,290"	5%-8%	"20,500"																			
			2016	"$51,850 "	"$27,060 "	"$97,120 "	"60,770"			"Government, Real Estate and Rental and Leasing"																		
																												
Petroleum Engineers	17-2171		2005	"$93,000 "	"$51,410 "	"$145,600*"	"14,860"	14% - 19%	"8,600"	"Mining, Quarrying, and Oil and Gas Extraction (58%), Professional, Scientific, and Technical Services (16%), Manufacturing (10%), Other Industries (16%)"																		
			2006	"$98,380 "	"$57,960 "	"$145,600*"	"15,060"																					
			2007	"$103,960 "	"$58,840 "	"$145,600*"	"16,060"																					
			2008	"$108,020 "	"$57,820 "	"$166,400*"	"20,880"																					
			2009	"$108,910 "	"$58,600 "	"$166,400*"	"25,540"																					
			2010	"$114,080 "	"$63,480 "	"$166,400*"	"28,210"																					
			2011	"$112,280 "	"$69,850 "	"$187,199*"	"30,880"	10%-19%	"11,800"																			
			2012	"$130,280 "	"$75,030 "	"$187,199*"	"36,410"																					
			2013	"$132,320 "	"$74,240 "	"$187,199*"	"34,910"	22% or higher	"19,600"																			
			2014	"$130,050 "	"$73,990 "	"$187,199*"	"33,740"																					
			2015	"$129,990 "	"$74,880 "	"$187,200*"	"34,600"	9%-135	"13,000"																			
			2016	"$128,230 "	"$73,000 "	"$179,450 "	"32,780"			"Mining, Quarrying, and Oil and Gas Extraction, Professional, Scientific, and Technical Services "																		
																												
Soil and Plant Scientists	19-1013		2005	"$54,530 "	"$32,360 "	"$91,520 "	"10,100"	14% - 19%	"7,000"	"Professional, Scientific, and Technical Services (23%), Government (21%), Educational Services (15%), Wholesale Trade (13%), Self-Employed (12%), Other Industries (16%)"																		
			2006	"$56,080 "	"$33,650 "	"$93,460 "	"10,720"																					
			2007	"$58,000 "	"$34,620 "	"$100,800 "	"10,270"																					
			2008	"$58,390 "	"$34,260 "	"$105,340 "	"10,790"																					
			2009	"$59,180 "	"$34,930 "	"$107,670 "	"11,830"																					
			2010	"$57,340 "	"$34,420 "	"$101,740 "	"12,120"																					
			2011	"$58,940 "	"$35,950 "	"$101,120 "	"11,860"	10%-19%	"8,600"																			
			2012	"$58,740 "	"$36,010 "	"$96,920 "	"12,410"																					
			2013	"$58,990 "	"$34,120 "	"$95,970 "	"13,160"	8%-14%	"6,700"																			
			2014	"$59,920 "	"$35,920 "	"$100,440 "	"15,150"																					
			2015	"$60,050 "	"$35,770 "	"$105,390 "	"14,610"	5%-8%	"7,300"																			
			2016	"$62,300 "	"$37,820 "	"$114,390 "	"14,690"			"Professional, Scientific, and Technical Services, Educational Services"																		
																												
Zoologists and Wildlife Biologists	19-1023		2005	"$52,050 "	"$32,250 "	"$85,350 "	"16,440"	7% - 13%	"8,800"	"Government (65%), Professional, Scientific, and Technical Services (19%), Other Industries (16%)"																		
			2006	"$53,300 "	"$32,800 "	"$84,580 "	"18,000"																					
			2007	"$55,100 "	"$34,500 "	"$89,690 "	"17,830"																					
			2008	"$55,290 "	"$33,550 "	"$90,850 "	"17,780"																					
			2009	"$56,500 "	"$35,280 "	"$93,140 "	"17,460"																					
			2010	"$57,430 "	"$35,660 "	"$93,450 "	"17,440"																					
			2011	"$57,420 "	"$36,310 "	"$94,070 "	"18,380"	3%-9%	"5,900"																			
			2012	"$57,710 "	"$37,100 "	"$95,430 "	"18,650"																					
			2013	"$57,430 "	"$37,150 "	"$95,460 "	"18,530"	8%-14%	"6,700"																			
			2014	"$58,270 "	"$38,080 "	"$96,720 "	"18,970"	3%-7%																				
			2015	"$59,680 "	"$39,180 "	"$97,390 "	"17,910"	2%-4%	"6,600"																			
			2016	"$60,520 "	"$39,150 "	"$98,540 "	"17,720"			"Government, Professional, Scientific, and Technical Services"																		
																												
Economists	19-3011		2005	"$73,690 "	"$40,810 "	"$132,420 "	"12,470"	3% - 6%	"5,000"	"Government (53%), Professional, Scientific, and Technical Services (23%), Other Industries (24%)"																		
			2006	"$77,010 "	"$42,280 "	"$136,550 "	"12,970"																					
			2007	"$80,220 "	"$43,540 "	"$141,070 "	"12,740"																					
			2008	"$83,590 "	"$44,050 "	"$149,110 "	"12,600"																					
			2009	"$86,930 "	"$44,720 "	"$153,210 "	"13,160"																					
			2010	"$89,450 "	"$48,250 "	"$155,490 "	"13,250"																					
			2011	"$90,550 "	"$50,120 "	"$155,490 "	"14,270"	3%-9%	"5,800"																			
			2012	"$91,860 "	"$51,410 "	"$155,490 "	"15,760"																					
			2013	"$93,070 "	"$49,940 "	"$158,090 "	"17,230"	8%-14%	"7,400"																			
			2014	"$95,710 "	"$50,440 "	"$170,780 "	"18,680"																					
			2015	"$99,180 "	"$52,540 "	"$176,960 "	"19,090"	5%-8%	"7,000"																			
			2016	"$101,050 "	"$55,150 "	"$181,060 "	"19,380"			"Government, Professional, Scientific, and Technical Services"																		
																												
"Economics Teachers, Postsecondary"	25-1063		2005	"$68,910 "	"$36,850 "	"$119,480"	"12,670"	14% - 19%	"552,900"	"Educational Services (98%), Other Industries (2%)"																		
			2006	"$71,850 "	"$38,630 "	"$130,990"	"12,330"																					
			2007	"$75,300 "	"$41,650 "	"$135,380"	"12,840"																					
			2008	"$80,130 "	"$43,720 "	"$144,140"	"12,540"																					
			2009	"$81,170 "	"$42,820 "	"$144,750"	"12,860"																					
			2010	"$83,370 "	"$41,260 "	"$153,100 "	"13,020"																					
			2011	"$85,310 "	"$42,690 "	"$153,640 "	"13,300"	10%-19%	"586,100"																			
			2012	"$87,950 "	"$44,070 "	"$160,940 "	"13,390"																					
			2013	"$90,070 "	"$45,010 "	"$168,000 "	"13,600"	8%-14%	"4,900"																			
			2014	"$90,870 "	"$43,420 "	"$174,610 "	"13,710"																					
			2015	"$94,000 "	"$45,220 "	"$184,240 "	"13,580"	9%-13%	"4,700"																			
			2016	"$95,770 "	"$47,560 "	"$195,730 "	"13,060"			Educational Services 																		
																												
Curators	25-4012		2005	"$45,240 "	"$26,400 "	"$78,930 "	"8,790"	20%	"6,200"	"Arts, Entertainment, and Recreation (52%), Government (20%), Educational Services (19%), Other Industries (9%)"																		
			2006	"$46,300 "	"$26,320 "	"$80,030 "	"9,520"																					
			2007	"$46,000 "	"$26,100 "	"$80,420 "	"10,120"																					
			2008	"$47,220 "	"$26,850 "	"$83,290 "	"10,820"																					
			2009	"$47,930 "	"$27,000 "	"$83,900 "	"10,410"																					
			2010	"$48,450 "	"$27,640 "	"$86,450 "	"10,550"																					
			2011	"$48,800 "	"$26,580 "	"$87,380 "	"10,340"	20%-28%	"6,300"																			
			2012	"$49,590 "	"$27,740 "	"$88,200 "	"10,370"																					
			2013	"$50,550 "	"$28,450 "	"$87,980 "	"10,910"	8%-14%	"3,900"																			
			2014	"$51,280 "	"$28,860 "	"$89,850 "	"11,200"																					
			2015	"$51,520 "	"$28,440 "	"$91,170 "	"11,870"	5%-8%	"5,100"																			
			2016	"$53,360 "	"$29,700 "	"$94,430 "	"11,170"			"Arts, Entertainment, and Recreation, Educational Services"																		
																												
Forest Fire Inspectors and Prevention Specialists	33-2022		2005	"$34,270 "	"$19,430 "	"$64,540 "	"1,720"	7% - 13%	700	"Government (88%), Other Industries (12%)"																		
			2006	"$32,940 "	"$19,320 "	"$59,050 "	"1,710"																					
			2007	"$31,420 "	"$18,290 "	"$61,270 "	"1,600"																					
			2008	"$31,380 "	"$19,030 "	"$62,000 "	"1,580"																					
			2009	"$32,940 "	"$20,230 "	"$64,720 "	"1,540"																					
			2010	"$34,910 "	"$20,880 "	"$68,450 "	"1,530"																					
			2011	"$33,670 "	"$18,990 "	"$68,930 "	"1,530"	3%-9%	500																			
			2012	"$35,780 "	"$20,560 "	"$72,210 "	"1,800"																					
			2013	"$33,610 "	"$22,320 "	"$70,730 "	"1,730"	3%-7%	600																			
			2014	"$36,430 "	"$24,550 "	"$74,050 "	"1,630"																					
			2015	"$36,650 "	"$24,500 "	"$78,430 "	"1,650"	9%-13%	700																			
			2016	"$36,230 "	"$24,700 "	"$76,770 "	"1,650"			Government 																		
																												
Fish and Game Wardens	33-3031		2005	"$42,850 "	"$28,840 "	"$58,930 "	"6,300"	7% - 13%	"2,700"	Government (100%)																		
			2006	"$43,700 "	"$28,270 "	"$62,270 "	"7,520"																					
			2007	"$47,830 "	"$30,400 "	"$81,790 "	"7,500"																					
			2008	"$48,930 "	"$30,400 "	"$81,710 "	"7,720"																					
			2009	"$48,800 "	"$30,920 "	"$89,130 "	"7,530"																					
			2010	"$49,730 "	"$31,130 "	"$81,250 "	"7,240"																					
			2011	"$50,070 "	"$31,710 "	"$81,080 "	"7,180"	3%-9%	"2,200"																			
			2012	"$48,070 "	"$31,870 "	"$70,750 "	"6,320"																					
			2013	"$48,760 "	"$33,080 "	"$71,510 "	"6,640"	-2%-2%	"2,000"																			
			2014	"$50,880 "	"$32,660 "	"$75,690 "	"5,820"																					
			2015	"$52,780 "	"$34,620 "	"$76,510 "	"5,630"	2%-4%	"2,000"																			
			2016	"$51,730 "	"$34,360 "	"$77,440 "	"6,610"			Government (100%)																		
																												
Real Estate Brokers	41-9021		2005	"$57,190 "	"$24,580 "	"$145,600*"	"41,760"	7% - 13%	"30,800"	"Self-Employed (58%), Real Estate and Rental and Leasing (37%), Other Industries (5%)"																		
			2006	"$60,790 "	"$26,060 "	"$145,600*"	"46,950"																					
			2007	"$58,860 "	"$25,990 "	"$145,600*"	"49,270"																					
			2008	"$57,500 "	"$25,470 "	"$166,400*"	"51,390"																					
			2009	"$55,740 "	"$25,140 "	"$166,400*"	"48,380"																					
			2010	"$54,910 "	"$25,550 "	"$161,820 "	"41,210"																					
			2011	"$59,340 "	"$26,170 "	"$187,199*"	"38,200"	3%-9%	"29,700"																			
			2012	"$58,350 "	"$25,620 "	"$176,950 "	"37,270"																					
			2013	"$59,580 "	"$24,260 "	"$187,050 "	"38,970"	8%-14%	"16,100"																			
			2014	"$57,360 "	"$23,880 "	"$178,770 "	"38,720"																					
			2015	"$56,860 "	"$23,400 "	"$166,940 "	"38,810"	2%-4%	"7,300"																			
			2016	"$56,790 "	"$24,370 "	"$162,260 "	"40,850"			"Self-Employed, Real Estate and Rental and Leasing"																		
																												
Real Estate Sales Agents	41-9022		2005	"$39,240 "	"$19,420 "	"$104,370 "	"150,200"	14% - 19%	"128,300"	"Self-Employed (58%), Real Estate and Rental and Leasing (32%), Other Industries (10%)"																		
			2006	"$39,760 "	"$20,170 "	"$111,500 "	"168,400"																					
			2007	"$40,600 "	"$20,930 "	"$106,790 "	"172,030"																					
			2008	"$40,150 "	"$21,120 "	"$101,860 "	"164,080"																					
			2009	"$40,100 "	"$20,800 "	"$96,410 "	"151,550"																					
			2010	"$40,030 "	"$20,460 "	"$95,220 "	"153,740"																					
			2011	"$39,070 "	"$20,200 "	"$92,860 "	"158,340"	10%-19%	"127,600"																			
			2012	"$39,140 "	"$20,700 "	"$95,540 "	"162,560"																					
			2013	"$39,800 "	"$21,240 "	"$98,090 "	"158,850"	8%-14%	"70,200"																			
			2014	"$40,990 "	"$21,540 "	"$105,270 "	"157,660"																					
			2015	"$43,370 "	"$21,780 "	"$110,560 "	"151,700"	2%-4%	"33,000"																			
			2016	"$44,090 "	"$22,230 "	"$112,570 "	"151,840"			"Self-Employed, Real Estate and Rental and Leasing"																		
																												
Agricultural Inspectors	45-2011		2005	"$32,840 "	"$20,100 "	"$53,550 "	"11,730"	7% - 13%	"5,500"	"Government (71%), Agriculture, Forestry, Fishing, and Hunting (12%), Other Industries (17%)"																		
			2006	"$38,100 "	"$23,930 "	"$55,620 "	"14,790"																					
			2007	"$39,780 "	"$24,660 "	"$56,640 "	"14,510"																					
			2008	"$41,170 "	"$25,380 "	"$59,270 "	"14,340"																					
			2009	"$41,500 "	"$24,670 "	"$60,460 "	"14,030"																					
			2010	"$41,670 "	"$24,050 "	"$60,990 "	"13,560"																					
			2011	"$41,390 "	"$24,490 "	"$61,230 "	"13,780"	-2% - 2%	"6,000"																			
			2012	"$42,160 "	"$24,640 "	"$61,680 "	"13,570"																					
			2013	"$42,680 "	"$25,540 "	"$63,150 "	"13,740"	-2%-2%	"5,000"																			
			2014	"$43,090 "	"$25,320 "	"$62,970 "	"13,800"																					
			2015	"$43,380 "	"$26,440 "	"$62,930 "	"14,670"	(-1%)-1%	"3,600"																			
			2016	"$42,800 "	"$26,580 "	"$63,840 "	"14,710"			Government																		
																												
Geophysical Data Technicians***	19-4041.01		2005	"$43,750 "	"$21,630 "	"$84,650 "	"11,130"	-2% - 2%	"5,500"	"Mining, Quarrying, and Oil and Gas Extraction (56%), Professional, Scientific, and Technical Services (24%), Manufacturing (11%), Other Industries (9%)"																		
			2006	"$46,160 "	"$22,020 "	"$88,150 "	"11,280"																					
			2007	"$50,950 "	"$25,160 "	"$93,080 "	"13,060"																					
			2008	"$53,360 "	"$26,630 "	"$97,380 "	"14,570"																					
			2009	"$53,240 "	"$28,480 "	"$96,110 "	"14,460"																					
			2010	"$54,020 "	"$29,950 "	"$99,860 "	"13,560"																					
			2011	"$49,690 "	"$28,600 "	"$93,080 "	"14,680"	10%-19%	"7,000"																			
			2012	"$52,700 "	"$26,940 "	"$99,300 "	"15,360"																					
			2013	"$53,410 "	"$28,010 "	"$94,820 "	"15,190"	15%-21%	"8,100"																			
			2014	"$54,810 "	"$26,690 "	"$94,750 "	"16,020"																					
			2015	"$55,610 "	"$24,840 "	"$98,620 "	"17,000"	9%-13%	"8,000"																			
			2016	"$56,470 "	"$25,350 "	"$103,080 "	"15,100"			"Mining, Quarrying, and Oil and Gas Extraction, Professional, Scientific, and Technical Services"																		
																												
Geospatial Information Scientists and Technologists***	15-1199.04		2005	"$59,420 "	"$29,760 "	"$103,190 "	"116,760"	7% - 13%	"72,600"	"Government (37%), Professional, Scientific, and Technical Services (16%), Other Industries (47%)"																		
			2006	"$68,570 "	"$35,500 "	"$103,270 "	"180,270"																					
			2007	"$71,510 "	"$37,600 "	"$108,140 "	"182,690"																					
			2008	"$75,150 "	"$40,660 "	"$114,830 "	"191,780"																					
			2009	"$77,010 "	"$41,680 "	"$115,050 "	"195,890"																					
			2010	"$79,240 "	"$41,710 "	"$117,700 "	"183,110"																					
			2011	"$79,930 "	"$42,150 "	"$118,710 "	"177,630"	3%-9%	"51,600"																			
			2012	"$81,140 "	"$43,430 "	"$119,350 "	"185,730"																					
